"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"2561793","LIQUIEINAV","LIQUIDETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:19.711135+00","2026-02-05 12:47:19.711146+00","0",NULL
"2563073","EBBE23INAV","EBBETF0423 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.016883+00","2026-02-05 12:47:20.016891+00","0",NULL
"2564097","EBBE30INAV","EBBETF0430 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.195794+00","2026-02-05 12:47:20.195799+00","0",NULL
"2564353","EBBE31INAV","EBBETF0425 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.375993+00","2026-02-05 12:47:20.376+00","0",NULL
"2564865","EBBE32INAV","EBBETF0431 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.486865+00","2026-02-05 12:47:20.48687+00","0",NULL
"2565377","BBETF0INAV","BBETF0432 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.609859+00","2026-02-05 12:47:20.609866+00","0",NULL
"2565633","HBANKEINAV","HBANKETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.732978+00","2026-02-05 12:47:20.732983+00","0",NULL
"2565889","HDFCNFINAV","HDFCNIFETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.846538+00","2026-02-05 12:47:20.846542+00","0",NULL
"2566145","HDFCSEINAV","HDFCSENETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:20.972305+00","2026-02-05 12:47:20.972314+00","0",NULL
"2579201","KOTAKBINAV","KOTAKBKETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:24.153553+00","2026-02-05 12:47:24.153561+00","0",NULL
"2585089","LICN50INAV","LICNETFN50 INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:25.687621+00","2026-02-05 12:47:25.68763+00","0",NULL
"2585857","LICNGSINAV","LICNETFGSC INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:25.956802+00","2026-02-05 12:47:25.956811+00","0",NULL
"2586625","LICNETINAV","LICNETFSEN INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:26.135982+00","2026-02-05 12:47:26.135993+00","0",NULL
"2587137","MAN50EINAV","MAN50ETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:26.418449+00","2026-02-05 12:47:26.418459+00","0",NULL
"2587649","MAFSETINAV","MAFSETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:26.545547+00","2026-02-05 12:47:26.545548+00","0",NULL
"2587905","MAMFGEINAV","MAMFGETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:26.673287+00","2026-02-05 12:47:26.673299+00","0",NULL
"2588161","MAM150INAV","MAM150ETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:26.805849+00","2026-02-05 12:47:26.80586+00","0",NULL
